speedup,baseline_time,verification_time
1.3121,82.4405,62.8299
1.1704,10.1351,8.6596
1.1095,10.1351,9.1346
1.1262,36.8784,32.7461
1.0457,36.8784,35.2672
1.1639,12.1912,10.4746
1.1120,12.1912,10.9636
1.0991,12.1912,11.0920
1.7490,12.7748,7.3041
1.0447,15.1966,14.5467
1.2657,10.7454,8.4894
1.0212,7.1717,7.0229
5.5975,42.7418,7.6359
2.4988,38.6703,15.4759
2.2549,38.6703,17.1493
1.8652,38.6703,20.7323
1.5878,38.6703,24.3553
1.2505,7.4317,5.9428
1.0204,36.4308,35.7036
3.4717,139.7506,40.2546
1.4645,139.7506,95.4252
1.2313,139.7506,113.5028
1.0349,46.8124,45.2320
1.2338,85.4215,69.2335
1.0746,85.4215,79.4913
3.7225,181.6020,48.7847
3.0966,181.6020,58.6463
2.5797,181.6020,70.3959
1.8273,43.5971,23.8582
1.6864,43.5971,25.8523
1.5928,43.5971,27.3705
5.1646,388.6424,75.2514
4.6302,388.6424,83.9368
4.0484,388.6424,95.9996
2.8153,388.6424,138.0451
3.3411,593.5901,177.6638
3.1122,593.5901,190.7297
3.1025,593.5901,191.3255
14.2326,298.4273,20.9678
12.9906,298.4273,22.9726
7.4757,298.4273,39.9196
1.4783,47.1522,31.8966
1.9504,57.0857,29.2683
1.8021,57.0857,31.6774
1.6335,57.0857,34.9472
2.9415,76.2914,25.9366
2.8985,76.2914,26.3214
2.4261,76.2914,31.4467
1.1803,76.2914,64.6381
2.6317,76.2914,28.9898
2.4831,62.0367,24.9838
2.3358,62.0367,26.5585
2.3264,62.0367,26.6666
5.2945,363.8692,68.7261
2.4170,101.6429,42.0525
2.0406,101.6429,49.8113
2.3057,178.2726,77.3189
2.1056,178.2726,84.6643
1.5781,38.0581,24.1162
1.4524,38.0581,26.2027
3.2536,88.9395,27.3358
2.9859,88.9395,29.7867
1.0528,88.9395,84.4758
1.3722,29.4952,21.4942
1.3639,29.4952,21.6263
1.3428,29.4952,21.9656
1.2964,68.0364,52.4821
15.0610,360.7004,23.9494
14.7230,360.7004,24.4991
14.3664,360.7004,25.1072
10.0870,360.7004,35.7588
2.6025,87.0899,33.4634
2.4986,87.0899,34.8559
1.2790,87.0899,68.0941
1.0983,7.9938,7.2786
1.1805,10.1638,8.6094
1.1519,10.1638,8.8232
1.1294,10.1638,8.9993
1.1449,13.0806,11.4251
1.0821,13.0806,12.0878
1.0447,13.0806,12.5212
1.3691,18.3571,13.4078
1.3385,18.3571,13.7142
1.0370,18.3571,17.7025
1.8762,18.3571,9.7843
1.6307,10.9712,6.7280
1.0917,7.5967,6.9588
1.0894,7.5967,6.9735
1.0330,6.5569,6.3477
1.0064,6.5569,6.5151
1.0372,6.5196,6.2858
1.0314,6.5196,6.3209
1.2484,7.5237,6.0268
2.7588,113.9189,41.2932
2.2846,113.9189,49.8637
1.5625,10.0649,6.4416
