metric,value
count,2915
mean_speedup,2.09528496111224
median_speedup,1.2616879753788088
std_speedup,3.353385543383293
min_speedup,1.0001564450327767
max_speedup,41.38644531556228
p25_speedup,1.0944943454819576
p75_speedup,1.6399089196147694
p90_speedup,2.910280764441944
p95_speedup,5.394885046061829
count_gt_2x,451
pct_gt_2x,15.471698113207546
count_gt_5x,164
pct_gt_5x,5.626072041166381
count_gt_10x,74
pct_gt_10x,2.5385934819897082
total_baseline_seconds,125205.94775239471
total_baseline_hours,34.779429931220754
total_verification_seconds,58402.66527486825
total_verification_hours,16.22296257635229
time_saved_seconds,66803.28247752646
time_saved_hours,18.55646735486846
time_saved_percent,53.35471970519768
aggregate_speedup,2.143839620385838
