metric,value
count,7763
mean_target_length,36.652969212933144
median_target_length,22.0
std_target_length,83.0864651917661
min_target_length,1.0
max_target_length,5566.0
p25_target_length,14.0
p75_target_length,41.0
p90_target_length,69.0
mean_original_length,420.6940615741337
median_original_length,105.0
compression_ratio,11.477762118810558
mean_length_grade_1,70.21428571428571
median_length_grade_1,42.0
count_grade_1,196
mean_length_grade_2,35.42003439380911
median_length_grade_2,22.0
count_grade_2,4652
mean_length_grade_3,36.363979416809606
median_length_grade_3,21.0
count_grade_3,2915
