original_length,target_length,grade
437,51,1
437,47,1
264,10,2
264,10,2
264,30,2
311,225,2
162,26,2
162,16,2
162,16,2
162,26,2
24,18,2
63,15,2
97,38,2
97,38,2
97,8,2
61,27,2
110,24,2
152,27,2
152,15,2
152,25,2
92,24,2
188,26,3
1041,43,2
24,18,2
170,40,2
8,6,2
62,28,2
62,28,2
50,10,2
50,11,2
22,16,2
37,15,2
37,17,2
37,5,2
23,17,2
23,17,2
23,17,2
23,17,2
92,12,2
92,9,2
111,48,2
111,36,2
111,30,2
32,16,2
63,49,2
63,49,2
63,49,2
8,6,2
27,11,2
89,34,2
98,12,2
60,18,3
60,20,3
59,9,2
59,9,2
59,23,2
59,10,2
172,20,2
172,22,2
421,102,2
421,44,2
421,72,2
421,50,2
32,14,2
30,14,2
38,19,2
256,80,2
256,63,2
460,314,2
460,312,2
460,333,2
317,42,3
317,46,3
317,22,2
145,22,2
145,24,2
145,16,2
300,44,3
300,46,3
300,38,3
300,19,2
58,14,2
291,42,2
291,78,2
82,28,2
82,6,2
82,6,2
102,7,2
102,34,2
102,18,2
102,12,2
50,15,2
50,6,2
50,16,2
205,59,2
205,33,2
205,31,2
205,39,2
53,5,2
53,10,2
92,26,2
92,16,2
92,15,2
92,16,2
120,29,2
120,15,2
64,6,2
64,16,2
64,6,2
36,16,2
43,17,2
72,14,2
72,14,2
22,16,2
676,30,2
206,17,2
206,26,2
206,36,2
206,37,2
72,27,2
72,17,2
72,27,2
72,17,2
203,117,2
203,108,2
203,121,2
13,11,2
14,12,2
405,41,2
405,54,2
35,19,2
36,18,2
36,16,2
264,71,2
264,64,2
264,88,2
45,16,2
45,14,2
134,23,2
134,37,2
134,27,2
118,19,2
118,6,2
118,18,2
174,24,2
174,24,2
40,6,2
40,6,2
109,24,2
109,15,2
22,16,2
50,16,2
50,16,2
50,16,2
28,12,2
84,18,2
84,18,2
84,11,2
84,12,2
1398,59,2
1398,40,2
1398,35,2
128,23,2
128,27,2
78,32,2
25,9,2
27,11,3
2557,98,3
2557,99,2
2557,38,2
736,432,2
24,18,2
22,16,2
62,12,3
75,22,2
75,24,2
24,18,2
187,10,2
187,27,2
152,16,2
152,16,2
152,16,2
152,6,2
25,9,2
978,76,2
978,78,2
978,81,2
94,24,2
94,23,2
94,24,2
83,10,2
56,14,2
56,14,2
8,6,2
330,156,2
330,136,2
36,17,2
150,22,2
150,32,2
150,26,2
135,22,2
135,24,2
135,22,2
108,28,2
108,28,2
424,97,2
424,53,2
424,97,2
424,54,2
24,18,3
25,23,2
25,23,2
108,11,3
37,5,2
37,5,2
37,6,2
37,1,2
4267,87,3
4267,35,3
4267,53,3
4267,37,3
83,17,2
83,37,2
37,17,2
37,27,2
143,17,2
41,9,2
119,16,2
119,16,2
119,6,2
3084,70,2
3084,38,2
3084,38,2
8,6,3
124,22,2
124,34,2
124,57,2
63,6,2
63,41,2
63,29,2
63,41,2
16,14,2
38,18,2
38,18,2
22,16,3
78,6,2
78,15,2
140,21,2
140,21,2
140,35,2
94,21,2
37,19,2
45,16,2
45,15,2
45,15,2
7,5,2
330,24,2
4345,133,2
4345,134,2
4345,134,2
4345,119,2
94,23,2
94,24,2
94,24,2
166,81,2
166,68,2
249,48,2
249,56,2
249,38,2
249,54,2
197,27,3
197,16,3
197,17,3
750,16,2
750,42,2
750,42,2
750,38,2
56,28,2
56,28,2
56,28,2
331,60,2
331,60,2
331,52,2
331,60,2
7,5,2
28,6,2
78,6,2
78,15,2
78,25,2
35,6,2
35,6,2
35,6,2
35,6,2
144,8,2
13,11,2
6269,57,2
6269,39,2
6269,59,2
6269,59,2
996,26,2
34,28,2
34,12,2
66,24,3
66,24,2
66,24,2
66,23,2
159,22,2
159,30,2
159,24,2
159,32,2
329,175,2
329,176,2
329,86,2
105,7,2
8,6,2
8,6,2
203,24,2
203,106,2
203,100,2
22,16,2
112,34,2
112,24,2
112,34,2
22,16,2
22,16,2
292,120,2
292,136,2
292,98,2
24,18,2
3695,74,3
3695,108,3
66,14,2
66,14,2
66,14,2
66,24,2
3899,67,3
3899,43,3
3899,84,3
304,78,2
304,36,2
304,36,2
190,80,3
190,80,3
190,80,3
190,70,2
22,16,2
38,19,2
80,19,2
51,12,2
13,11,2
211,21,2
211,33,2
211,33,2
917,92,2
917,86,2
917,59,2
62,21,2
62,16,2
166,35,2
166,55,2
166,98,2
595,100,2
24,18,2
135,22,2
