baseline_time,virtual_best_time,grade,chose
27.1438,27.1438,1,baseline
27.1438,27.1438,1,baseline
16.1935,16.1935,2,baseline
16.1935,16.1935,2,baseline
16.1935,16.1935,2,baseline
7.2827,7.2827,2,baseline
7.2827,7.2827,2,baseline
7.2827,7.2827,2,baseline
7.2827,7.2827,2,baseline
7.2827,7.2827,2,baseline
4.8514,4.8514,2,baseline
4.3542,4.3542,2,baseline
5.6710,5.6710,2,baseline
5.6710,5.6710,2,baseline
5.6710,5.6710,2,baseline
4.7399,4.7399,2,baseline
5.6471,5.6471,2,baseline
5.7979,5.7979,2,baseline
5.7979,5.7979,2,baseline
5.7979,5.7979,2,baseline
5.9125,5.9125,2,baseline
82.4405,62.8299,3,invariant
7.2877,7.2877,2,baseline
4.5583,4.5583,2,baseline
6.0532,6.0532,2,baseline
4.1706,4.1706,2,baseline
4.6210,4.6210,2,baseline
4.6210,4.6210,2,baseline
4.5991,4.5991,2,baseline
4.5991,4.5991,2,baseline
4.5991,4.5991,2,baseline
4.8336,4.8336,2,baseline
4.8336,4.8336,2,baseline
4.8336,4.8336,2,baseline
4.8336,4.8336,2,baseline
4.8336,4.8336,2,baseline
4.8336,4.8336,2,baseline
4.8336,4.8336,2,baseline
4.8336,4.8336,2,baseline
4.8336,4.8336,2,baseline
5.2696,5.2696,2,baseline
5.2696,5.2696,2,baseline
5.2696,5.2696,2,baseline
5.1523,5.1523,2,baseline
5.4865,5.4865,2,baseline
5.4865,5.4865,2,baseline
5.4865,5.4865,2,baseline
4.1539,4.1539,2,baseline
4.9858,4.9858,2,baseline
4.9201,4.9201,2,baseline
4.9171,4.9171,2,baseline
10.1351,8.6596,3,invariant
10.1351,9.1346,3,invariant
4.8599,4.8599,2,baseline
4.8599,4.8599,2,baseline
4.8599,4.8599,2,baseline
4.8599,4.8599,2,baseline
13.2545,13.2545,2,baseline
13.2545,13.2545,2,baseline
5.8911,5.8911,2,baseline
5.8911,5.8911,2,baseline
5.8911,5.8911,2,baseline
5.8911,5.8911,2,baseline
4.9515,4.9515,2,baseline
4.9939,4.9939,2,baseline
4.5682,4.5682,2,baseline
6.9257,6.9257,2,baseline
6.9257,6.9257,2,baseline
7.8628,7.8628,2,baseline
7.8628,7.8628,2,baseline
7.8628,7.8628,2,baseline
36.8784,32.7461,3,invariant
36.8784,35.2672,3,invariant
36.8784,36.8784,2,baseline
36.8784,36.8784,2,baseline
36.8784,36.8784,2,baseline
36.8784,36.8784,2,baseline
12.1912,10.4746,3,invariant
12.1912,10.9636,3,invariant
12.1912,11.0920,3,invariant
12.1912,12.1912,2,baseline
4.8645,4.8645,2,baseline
5.9271,5.9271,2,baseline
5.9271,5.9271,2,baseline
5.4474,5.4474,2,baseline
5.4474,5.4474,2,baseline
5.4474,5.4474,2,baseline
5.4474,5.4474,2,baseline
5.4474,5.4474,2,baseline
5.4474,5.4474,2,baseline
5.4474,5.4474,2,baseline
11.2257,11.2257,2,baseline
11.2257,11.2257,2,baseline
11.2257,11.2257,2,baseline
11.2257,11.2257,2,baseline
11.2257,11.2257,2,baseline
11.2257,11.2257,2,baseline
11.2257,11.2257,2,baseline
11.2257,11.2257,2,baseline
11.2257,11.2257,2,baseline
11.2257,11.2257,2,baseline
11.2257,11.2257,2,baseline
11.2257,11.2257,2,baseline
11.2257,11.2257,2,baseline
11.2257,11.2257,2,baseline
11.2257,11.2257,2,baseline
11.2257,11.2257,2,baseline
11.2257,11.2257,2,baseline
11.2257,11.2257,2,baseline
5.3226,5.3226,2,baseline
5.8481,5.8481,2,baseline
5.6659,5.6659,2,baseline
5.6659,5.6659,2,baseline
4.1927,4.1927,2,baseline
5.8843,5.8843,2,baseline
6.7525,6.7525,2,baseline
6.7525,6.7525,2,baseline
6.7525,6.7525,2,baseline
6.7525,6.7525,2,baseline
6.7525,6.7525,2,baseline
6.7525,6.7525,2,baseline
6.7525,6.7525,2,baseline
6.7525,6.7525,2,baseline
5.9104,5.9104,2,baseline
5.9104,5.9104,2,baseline
5.9104,5.9104,2,baseline
4.9807,4.9807,2,baseline
4.9807,4.9807,2,baseline
8.1792,8.1792,2,baseline
8.1792,8.1792,2,baseline
4.5748,4.5748,2,baseline
9.0854,9.0854,2,baseline
9.0854,9.0854,2,baseline
5.6082,5.6082,2,baseline
5.6082,5.6082,2,baseline
5.6082,5.6082,2,baseline
5.7946,5.7946,2,baseline
5.7946,5.7946,2,baseline
18.2325,18.2325,2,baseline
18.2325,18.2325,2,baseline
18.2325,18.2325,2,baseline
18.2325,18.2325,2,baseline
18.2325,18.2325,2,baseline
18.2325,18.2325,2,baseline
8.8959,8.8959,2,baseline
8.8959,8.8959,2,baseline
4.6732,4.6732,2,baseline
4.6732,4.6732,2,baseline
5.0755,5.0755,2,baseline
5.0755,5.0755,2,baseline
5.0755,5.0755,2,baseline
4.5827,4.5827,2,baseline
4.5827,4.5827,2,baseline
4.5827,4.5827,2,baseline
4.1910,4.1910,2,baseline
5.7560,5.7560,2,baseline
5.7560,5.7560,2,baseline
5.7560,5.7560,2,baseline
5.7560,5.7560,2,baseline
13.8132,13.8132,2,baseline
13.8132,13.8132,2,baseline
13.8132,13.8132,2,baseline
5.3902,5.3902,2,baseline
5.3902,5.3902,2,baseline
5.7731,5.7731,2,baseline
5.4689,5.4689,2,baseline
12.7748,7.3041,3,invariant
15.1966,14.5467,3,invariant
15.1966,15.1966,2,baseline
15.1966,15.1966,2,baseline
