display_name,timeout_solved,total,rate,vbs_scores,vbs_e2e_scores,speedup_vals,speedup_vals_e2e,vbp,vbp_e2e,avg_speedup,avg_speedup_e2e,avg_speedup_all,avg_speedup_all_e2e
eval-qwen3-1.7b-nt-gen-inv-sft-v2.2-latest-nt-run1,5,20,0.25,"[49.32, 9.19, 45.5, 7.32, 305.18]","[49.79310735506471, 9.643345197020098, 45.89432873495389, 7.713851089058444, 305.68894283794333]","[12.187956204379562, 65.40914036996736, 13.211208791208792, 82.1188524590164, 1.9696900190051774]","[12.072152792425758, 62.33417841204624, 13.09769674313124, 77.92605704466247, 1.9664106736064377]",470.82550000000003,470.936678760702,34.979369568715455,33.47929913317443,9.494842392178864,9.119824783293607
eval-qwen3-8b-nt-gen-inv-sft-v2.2-latest-nt-run2,4,20,0.2,"[31.22, 9.07, 9.32, 384.12]","[31.866197363035752, 9.714281215034426, 10.05955034906976, 384.95131055906415]","[19.254003843689944, 66.27453142227122, 64.49678111587983, 1.5649015932521086]","[18.863562324423352, 61.8789992480025, 59.75515596038412, 1.561522154910991]",501.68649999999997,501.8295669743102,37.89755449377327,35.514809921930244,8.379510898754654,7.902961984386049
eval-Qwen3-8B-t-run1,3,19,0.15789473684210525,"[43.88, 43.4, 426.02]","[117.42777739499695, 133.31445427702275, 469.81484594403764]","[13.698951686417502, 13.850460829493088, 1.4109900943617673]","[5.118976219553403, 4.508963437309765, 1.279461484006833]",532.2789473684211,543.1872146113715,9.653467536757452,3.63580038029,2.3663369794880187,1.4161790074142107
eval-gpt-5.2-run2,3,20,0.15,"[59.09, 43.33, 6.91]","[77.76749337013811, 81.62862020676955, 22.702728120926768]","[10.172787273650364, 13.872836372028619, 86.99131693198264]","[7.72957921041621, 7.363961297855544, 26.4774346412541]",515.4665,519.1049420848917,37.01231352588721,13.856991716508617,6.401847028883081,2.9285487574762925
eval-Qwen3-8B-nt-run2,3,20,0.15,"[52.27, 7.41, 36.65]","[53.22743688603398, 8.391146563077346, 41.702764195017515]","[11.50009565716472, 81.12145748987854, 16.401364256480218]","[11.293235879214796, 71.6362174681824, 14.41415243337319]",514.8165,515.1660673822064,36.34097246784116,32.44786859359012,6.301145870176174,5.717180289038518
eval-gpt-oss-120b-run0,3,20,0.15,"[91.94, 87.64, 10.81]","[94.74693734413944, 90.56959682783112, 12.227414961149917]","[6.5380683054165765, 6.858854404381561, 55.606845513413504]","[6.344373938089953, 6.636995427314136, 49.16084077541351]",519.5195,519.877197456656,23.00125607440388,20.7140700469392,4.3001884111605815,3.9571105070408796
eval-gpt-oss-20b-run0,3,20,0.15,"[7.76, 75.23, 527.58]","[29.69375837896019, 80.24242701406591, 544.8348596381676]","[77.46262886597938, 7.990296424298816, 1.1393722279085636]","[20.24364825524823, 7.491174212547557, 1.1032884356907808]",540.5285,542.7385522515597,28.864099172728924,9.612703634495523,5.179614875909339,2.291905545174328
eval-gpt-5.2-run0,3,20,0.15,"[56.42, 26.89, 6.78]","[64.03175053392071, 43.45714473606553, 22.707016170928256]","[10.654200638071606, 22.354406842692452, 88.65929203539822]","[9.387686499083966, 13.832247922655919, 26.47243457595278]",514.5045,516.5097955720457,40.555966505387424,16.56412299923089,6.933394975808113,3.3346184498846334
eval-qwen3-0.6b-gen-inv-sft-v1-latest-nt-run2,3,20,0.15,"[62.37, 20.05, 7.67]","[62.890735373953355, 20.562989562936128, 8.182584901996888]","[9.637806637806639, 29.980548628428927, 78.3715775749674]","[9.558005585810879, 29.23261708421396, 73.4621158471945]",514.5045,514.5818154919443,39.32997761373432,37.41757950573978,6.749496642060149,6.462636925860967
eval-qwen3-1.7b-nt-gen-inv-sft-v2.2-latest-nt-run2,3,20,0.15,"[56.61, 6.3, 5.99]","[57.08679533297196, 6.699147528107278, 6.405475970017724]","[10.618441971383149, 95.41428571428573, 100.35225375626044]","[10.529755550191366, 89.72932712377998, 93.84314340005818]",513.4449999999999,513.5095709415548,68.79499381397643,64.70074202467652,11.169249072096466,10.555111303701477
eval-qwen3-8b-gen-inv-sft-v0-latest-nt-run1,3,20,0.15,"[47.63, 6.86, 7.63]","[49.2738841461204, 8.494915401926264, 8.314841892914846]","[12.620407306319546, 87.62536443148687, 78.7824377457405]","[12.199363017890455, 70.7611520020194, 72.29361757464221]",513.106,513.304182072048,59.67606982784897,51.751377531517356,9.801410474177345,8.612706629727603
